Purchasing_Document,Item,New_Delivery_date,Header_Note
4504305029.0,30.0,2026-04-20,NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07WO Late
4504305029.0,40.0,2026-04-20,NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07WO Late
4504305029.0,50.0,2026-04-20,NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07WO Late
4504305029.0,60.0,2026-04-20,NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07WO Late
4504305029.0,70.0,2026-04-20,NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07WO Late
4504403088.0,30.0,2026-04-20,NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07WO Late
4504585828.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07Delivery after requirement date, WO at risk"
4504596545.0,10.0,2026-04-20,NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07Delivery meets requirement date
4504585893.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late, Deviation Required"
4504585893.0,20.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late, Deviation Required"
4504605490.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late, Deviation Required"
4504605490.0,40.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late, Deviation Required"
4504605490.0,50.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late, Deviation Required"
4200003780.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late"
4200003806.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late"
4200003969.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late"
4504445262.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late"
4504523099.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late"
4504545733.0,10.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, Delivery after requirement date, WO at risk"
4504599635.0,20.0,2026-04-20,"NEP ***REGRELLO*** Vendor follow-up sent on 2026-04-07, WO Late"
